id,concat_comments
743294378,Excellent location and beautiful historic building  but the unit was not clean to level expected of a typical motel  let alone COVID    clean expectations  Also  repairs needed were never addressed  wall mounted bedside table had been dislodged  and tilted downward  so items slid off  You couldnt put a glass of water on it   The management company is not particularly responsive  They reply quickly  but dont actually address the issue   just ask for more info  I sent photos  on their request  and after many days still did not receive a response addressing the clean concerns  Pretty accurate  but not in good repair  E g  wall mounted bedside table had been pulled out of the wall   was hanging at tilt  needs repair  Kitchen with minimal supplies  e g  a french press coffee maker only  which is fine  but the hot water kettle provided had no cord  so not usable  Needed to boil water in a small pot  Floors not clean  hairs in the bathroom  handles on drawers   cabinets with crumbs and stains had clearly not been wiped down  carpet with stains including gum  drawer in bath unclean The unit is managed by a company  A different person responded each time  Responses only addressed on of multiple points raised in my message  and essentially kicked it down the road  requiring multiple correspondences and ultimately not addressing the concerns raised  Good price  but frustrating to pay a clean fee for an apt  that was not clean to basic motel standards  let alone COVID    standards 
450017413476823414,Stayed here for a comedy show  I think it was a little overpriced  but I think this thought was fueled by seeing a different rate a few weeks later  It was about half of the price that I had booked it for    Apart from that  it was a cool place to show up and sleep  Parking is about a block away  and for the most part  was exactly as described  If you are going to a show at Stifel Theater  it s across the street  The host provides good instructions on how to get into the building  The door to the apartment doesn t lock properly  but a smart lock was added to help with this issue    Overall  it was a good experience 
453554269058855194,Couldnt get into the building for up to     minutes because they didnt think to send me it ahead of time and their costumer service didnt seem to know the code either  This was after a long drive pushing  am and a struggle to get a later check out with this company which ended with us purchasing an extra day  The purchase was fine  money talks  but you would think a business that seemingly had a tight schedule would be in order  Well just getting into the building was the beginning of my woes  Come to my room and open the door    its a mess  Dirty and lived in is the vibe this air bnb must live by as a company motto  Mind you  our check in is scheduled to be no earlier than around   ish the previous day  So they didnt even try to clean it with the extra   hrs we were driving to St Louis they had  The most they could offer me was to sleep in the filth and theyll have it clean the following day  They showed their benevolence by granting us an extra hour to stay in their bnb before leaving  At this point Im fuming and ask for a refund  didnt even stay  we just went to a best Western two towns over  Refund hasnt been pushed yet and its been   days since exposed to this joke  management must feed off the bad reviews Im sure youre aware of the quality I was exposed to  Including how long its taking you to issue a refund and its just an overall bitter experience 
449995501773233746,When we arrived to check in the door was propped open and the lock for the door has been installed backwards  with the keypad on the inside and deadbolt on the outside   I immediately contacted Zencity and they said they would escalate to their manager and report back  They did not report back and I had to call back to check on someone coming to fix it  They said no one could come that day  Our options were to relocate to another Airbnb for one night and then move back after the lock was fixed  It was not possible for us to move and then move back based on the plans we had made for our visit so we had to prop a table against the door that night since there was no lock   Zencity did not come correct the lock until the next day at  pm after I had to follow up with a call and messages  After that we had two service men visit to remove air conditioning units without warning or our permission   The health and safety concerns and lack of responsiveness from Zencity was unacceptable    The Airbnb was only partially clean  The only positive note I can share is on the location  The location was great   walkable to the arch and Cardinals game   We will never stay at an Airbnb hosted by Zencity again 
449293641601574565,The communication with ZenCity staff was terrible  The unit I rented in St  Louis at The Bordeaux had a malfunctioning central air unit  This is a top floor unit with no shade  the temperature was in the upper   s on the first day    two windows could not be left open because their screens were missing    From the moment I checked in  the thermostat read    degress  when I turned it down to    degress  it said it would take    hours to achieve that temperature  After waiting    hours with no change to the temperature  I started looking for the HVAC unit   found it in a closet  The fan was blowing air in the apartment  but it was not cooling the air  I noticed that the unit had no filter   then I noticed that the filter was sitting on the floor  between the unit   the wall of the closet   it was completely packed full of dirt  Id estimate that it had not been changed in more than a year  so the maintenance of the building may have been weak for quite a while   There were plastic wrappers   spare parts sitting on top of the water heater that appeared to have been used to repair the HVAC system    it appeared that someone may have abandoned a repair job mid way through the process   then the unit was rented before the repair was finished    In my case  it was late August  extremely hot in St  Louis   although I did sleep in the unit for one night  with no a c  with the windows open   sweated all night on the sheets  I was not willing to do it two nights in a row  I was left so frustrated by the complete lack of assistance  I didnt even want to be there   Three ZenCity staff responded  late  to my texts or calls  all asking about the nature of the problem  None ever followed up to ask me what I wanted done about it  or to tell me what was happening  One employee suggested that he could control the temperature remotely  asked me what temperature I would like it set at   then never followed up  The temperature never changed   neither did the thermostat  There was no obvious indication anywhere that the thermostat could be managed remotely  If so  that feature also did not work    The ZenCity staff communicated through text   email  outside of AirBnBs messaging app  despite AirBnBs guidance to only use the messaging app  so they would have a trail of evidence to troubleshoot any bad experiences  I sent multiple messages through the app  as well as directly to ZenCity employees  who ultimately never did anything to help me  After the fact  they never followed up to apologize   After receiving no assistance the following morning  I checked out early  with temperatures forecast in the mid   s  AirBnB quickly issued a refund for the second day   a partial refund for the first     Although ZenCitys reviews on the AirBnB site were ok  their reviews for the same property on other websites were generally worse  This was probably the worst vacation experience Ive had anywhere in the last    years   The paint in the unit was badly chipped   scraped by furniture  inconsistent with the photos  The check in process is complicated  The nature of the lock system is such that you could easily be locked out of the unit    reliant on ZenCity to help you regain access to your things   The HVAC was obviously not operational  The worst thing  though  was the customer service   lack of responsiveness when I had a serious problem  which made it impossible to stay   finish my trip  Ive never left a negative review before  but this was truly a  very bad experience  As I repeatedly said in my messages to ZenCity representatives  the temperature in this apartment was miserably hot     degrees     the a c unit was not working   had obviously not been maintained  But the problem was  after    hours  no one had sent maintenance staff to check out the problem  offered to accommodate us elsewhere  or anything else  I was repeatedly asked what was wrong   then I never received responses about what would be done   nothing ever changed 
449200908082774156,Very disappointed in my stay with zen city  I ve stayed with zen city before   I also used to live in the building so I was anticipating a similar experience  However that was not the case at the start of our stay  You d think that using digital locks is a good idea  when it works  But when it doesn t work  it can be a catastrophe  The reliance on technology without a clear contingency is not a smart way of doing business    It was   am and we had arrived at the apartment only to find that the digital lock had malfunctioned  inhibiting us from using the code to enter  We called customer service and they attempted to help us get in using new codes and digital codes but to no avail  I appreciate all the help Oshane provided however this was unacceptable  We were informed that there was no other way into the apartment and that there were no keys to enter the apartment  We were told that we had to travel to a different building  Mind you it was   am  As we were leaving  we were stopped by the front desk who ultimately found a way for us to enter    The next morning we were unable to leave our apartment without a way to re enter due to the broken digital lock  The locks were eventually fixed hours later    The apartment was ok  There was construction every morning and from time to time the bathroom sink would gargle and backup with old water  smelled unpleasant   A few stains on the couch  Furthermore the internet that services the apartment was not equipped to handle working from home     I requested compensation from management but my calls have done unheard  This is most frustrating as our experience getting their affected our trip thereafter and we ve been ignored by management  I demand compensation  Very disappointed in my stay with zen city  I ve stayed with zen city before   I also used to live in the building so I was anticipating a similar experience  However that was not the case at the start of our stay  You d think that using digital locks is a good idea  when it works  But when it doesn t work  it can be a catastrophe  The reliance on technology without a clear contingency is not a smart way of doing business    It was   am and we had arrived at the apartment only to find that the digital lock had malfunctioned  inhibiting us from using the code to enter  We called customer service and they attempted to help us get in using new codes and digital codes but to no avail  I appreciate all the help Oshane provided however this was unacceptable  We were informed that there was no other way into the apartment and that there were no keys to enter the apartment  We were told that we had to travel to a different building  Mind you it was   am  As we were leaving  we were stopped by the front desk who ultimately found a way for us to enter    The next morning we were unable to leave our apartment without a way to re enter due to the broken digital lock  The locks were eventually fixed hours later    The apartment was ok  There was construction every morning and from time to time the bathroom sink would gargle and backup with old water  smelled unpleasant   A few stains on the couch  Furthermore the internet that services the apartment was not equipped to handle working from home     I requested compensation from management but my calls have done unheard  This is most frustrating as our experience getting their affected our trip thereafter and we ve been ignored by management  I demand compensation 
445641560513643608,Great location  decently clean  although some repairs were needed to the bathroom tiles  A member of my group left a suit in the closet and they have not been very communicative as we ve tried to locate it  The tiles in one of the bathroom floors needs to be fixed  Main door to the apartment is very difficult to open
743243920,I hatte   Wohnungen mit Zencity im Chicago und jedes Mal hatte ich etwas zu kl ren   Beim ersten kein Schl ssel und   Stunden Versp tung des einchecken beim zweitens nicht saubergemacht  musste ich ein Hotel f r die Nacht nehmen Extra  erst anderen Tag einchecken und jetzt hatte ich Tag und halb keine Heizung  es war so kalt das ich Nieren Beschwerden bekommen habe  In jeden Fall k nnte man am Chat mit jemandem schreiben oder Anrufen  Man hatte sich auch immer h fflich entschuldig  und habe entweder Tag extra bekommen oder Geld zur ck  in diesen Fall  jetzt den dritten  bitte ich um Geld zur ck f r einen Tag  und halb   da ich wirklich nicht da bekam f r was ich zahlte  Sonst war jede Wohnung sehr sch n und modern mit eine Tolle Lage und einer Tollen K che  Und ich w rde wieder gerne buchen  nur hoffe ich keine Unannehmlichkeiten f r das n chste buchen zu haben  Der der buchen w nscht  w rde ich sagen   dass manchmal die Kleinigkeiten den Unterschied machen   LG Magdalena I hatte   Wohnungen mit Zencity im Chicago und jedes Mal hatte ich etwas zu kl ren   Beim ersten kein Schl ssel und   Stunden Versp tung des einchecken beim zweitens nicht saubergemacht  musste ich ein Hotel f r die Nacht nehmen Extra  erst anderen Tag einchecken und jetzt hatte ich Tag und halb keine Heizung  es war so kalt das ich Nieren Beschwerden bekommen habe  In jeden Fall k nnte man am Chat mit jemandem schreiben oder Anrufen  Man hatte sich auch immer h fflich entschuldig  und habe entweder Tag extra bekommen oder Geld zur ck  in diesen Fall  jetzt den dritten  bitte ich um Geld zur ck f r einen Tag  und halb   da ich wirklich nicht da bekam f r was ich zahlte  Sonst war jede Wohnung sehr sch n und modern mit eine Tolle Lage und einer Tollen K che  Und ich w rde wieder gerne buchen  nur hoffe ich keine Unannehmlichkeiten f r das n chste buchen zu haben  Der der buchen w nscht  w rde ich sagen   dass manchmal die Kleinigkeiten den Unterschied machen   LG Magdalena I hatte   Wohnungen mit Zencity im Chicago und jedes Mal hatte ich etwas zu kl ren   Beim ersten kein Schl ssel und   Stunden Versp tung des einchecken beim zweitens nicht saubergemacht  musste ich ein Hotel f r die Nacht nehmen Extra  erst anderen Tag einchecken und jetzt hatte ich Tag und halb keine Heizung  es war so kalt das ich Nieren Beschwerden bekommen habe  In jeden Fall k nnte man am Chat mit jemandem schreiben oder Anrufen  Man hatte sich auch immer h fflich entschuldig  und habe entweder Tag extra bekommen oder Geld zur ck  in diesen Fall  jetzt den dritten  bitte ich um Geld zur ck f r einen Tag  und halb   da ich wirklich nicht da bekam f r was ich zahlte  Sonst war jede Wohnung sehr sch n und modern mit eine Tolle Lage und einer Tollen K che  Und ich w rde wieder gerne buchen  nur hoffe ich keine Unannehmlichkeiten f r das n chste buchen zu haben  Der der buchen w nscht  w rde ich sagen   dass manchmal die Kleinigkeiten den Unterschied machen   LG Magdalena
441993811701557684,Not responsive  passcode was not sent until I stand by the door and make a phone call and test code and change the code and test it again  It was    outside  I have to wait for them set the passcode instead of they set it up before I arrive   In the morning I make up my mind and prepared to go to school for my first class in new semester  the door of the building is broken  and it is broken for a long while  which they did not mention at all  My Uber cancelled my trip to school and charged me    dollars for waiting  The only way out seems to be the path through the dumpster and yes  it is    outside  I did not go to my first class due to it  Assuredly I asked help from host  not body replied to me  I have to walk all the way through that dumpster and detour to the door of the building and enter the passcode and the people inside of the building can get out   Nobody will help you when you were in trouble there  And room is old I can accept that as the price is relatively low  For cleanliness  you can tell the hair of others in the towel  etc  And people lives in upstairs is quite active   Location is ok  but I would recommend some else to live if you need food and water 
438423169762077719,This Airbnb was located in a very safe neighborhood  Parking was a bit difficult and do keep in mind that there are     flights of stairs you must go up to the apartment  no elevator   The apartment itself was very clean and comfortable  It is in an old apartment building like most of them in the area  Upon arrival the air was    degrees in the apartment  The first night was miserable but by our second night stay it had finally cooled down to    degrees  It never did reach the    degrees that we sat the thermostat at  There was a strong marijuana scent in the evenings coming from other apartments throughout the building  The smell was a bit overpowering and unpleasant  keep in mind also 
