id,concat_comments
453554269058855194,Couldnt get into the building for up to     minutes because they didnt think to send me it ahead of time and their costumer service didnt seem to know the code either  This was after a long drive pushing  am and a struggle to get a later check out with this company which ended with us purchasing an extra day  The purchase was fine  money talks  but you would think a business that seemingly had a tight schedule would be in order  Well just getting into the building was the beginning of my woes  Come to my room and open the door    its a mess  Dirty and lived in is the vibe this air bnb must live by as a company motto  Mind you  our check in is scheduled to be no earlier than around   ish the previous day  So they didnt even try to clean it with the extra   hrs we were driving to St Louis they had  The most they could offer me was to sleep in the filth and theyll have it clean the following day  They showed their benevolence by granting us an extra hour to stay in their bnb before leaving  At this point Im fuming and ask for a refund  didnt even stay  we just went to a best Western two towns over  Refund hasnt been pushed yet and its been   days since exposed to this joke  management must feed off the bad reviews Im sure youre aware of the quality I was exposed to  Including how long its taking you to issue a refund and its just an overall bitter experience 
449995501773233746,When we arrived to check in the door was propped open and the lock for the door has been installed backwards  with the keypad on the inside and deadbolt on the outside   I immediately contacted Zencity and they said they would escalate to their manager and report back  They did not report back and I had to call back to check on someone coming to fix it  They said no one could come that day  Our options were to relocate to another Airbnb for one night and then move back after the lock was fixed  It was not possible for us to move and then move back based on the plans we had made for our visit so we had to prop a table against the door that night since there was no lock   Zencity did not come correct the lock until the next day at  pm after I had to follow up with a call and messages  After that we had two service men visit to remove air conditioning units without warning or our permission   The health and safety concerns and lack of responsiveness from Zencity was unacceptable    The Airbnb was only partially clean  The only positive note I can share is on the location  The location was great   walkable to the arch and Cardinals game   We will never stay at an Airbnb hosted by Zencity again 
449293641601574565,The communication with ZenCity staff was terrible  The unit I rented in St  Louis at The Bordeaux had a malfunctioning central air unit  This is a top floor unit with no shade  the temperature was in the upper   s on the first day    two windows could not be left open because their screens were missing    From the moment I checked in  the thermostat read    degress  when I turned it down to    degress  it said it would take    hours to achieve that temperature  After waiting    hours with no change to the temperature  I started looking for the HVAC unit   found it in a closet  The fan was blowing air in the apartment  but it was not cooling the air  I noticed that the unit had no filter   then I noticed that the filter was sitting on the floor  between the unit   the wall of the closet   it was completely packed full of dirt  Id estimate that it had not been changed in more than a year  so the maintenance of the building may have been weak for quite a while   There were plastic wrappers   spare parts sitting on top of the water heater that appeared to have been used to repair the HVAC system    it appeared that someone may have abandoned a repair job mid way through the process   then the unit was rented before the repair was finished    In my case  it was late August  extremely hot in St  Louis   although I did sleep in the unit for one night  with no a c  with the windows open   sweated all night on the sheets  I was not willing to do it two nights in a row  I was left so frustrated by the complete lack of assistance  I didnt even want to be there   Three ZenCity staff responded  late  to my texts or calls  all asking about the nature of the problem  None ever followed up to ask me what I wanted done about it  or to tell me what was happening  One employee suggested that he could control the temperature remotely  asked me what temperature I would like it set at   then never followed up  The temperature never changed   neither did the thermostat  There was no obvious indication anywhere that the thermostat could be managed remotely  If so  that feature also did not work    The ZenCity staff communicated through text   email  outside of AirBnBs messaging app  despite AirBnBs guidance to only use the messaging app  so they would have a trail of evidence to troubleshoot any bad experiences  I sent multiple messages through the app  as well as directly to ZenCity employees  who ultimately never did anything to help me  After the fact  they never followed up to apologize   After receiving no assistance the following morning  I checked out early  with temperatures forecast in the mid   s  AirBnB quickly issued a refund for the second day   a partial refund for the first     Although ZenCitys reviews on the AirBnB site were ok  their reviews for the same property on other websites were generally worse  This was probably the worst vacation experience Ive had anywhere in the last    years   The paint in the unit was badly chipped   scraped by furniture  inconsistent with the photos  The check in process is complicated  The nature of the lock system is such that you could easily be locked out of the unit    reliant on ZenCity to help you regain access to your things   The HVAC was obviously not operational  The worst thing  though  was the customer service   lack of responsiveness when I had a serious problem  which made it impossible to stay   finish my trip  Ive never left a negative review before  but this was truly a  very bad experience  As I repeatedly said in my messages to ZenCity representatives  the temperature in this apartment was miserably hot     degrees     the a c unit was not working   had obviously not been maintained  But the problem was  after    hours  no one had sent maintenance staff to check out the problem  offered to accommodate us elsewhere  or anything else  I was repeatedly asked what was wrong   then I never received responses about what would be done   nothing ever changed 
449200908082774156,Very disappointed in my stay with zen city  I ve stayed with zen city before   I also used to live in the building so I was anticipating a similar experience  However that was not the case at the start of our stay  You d think that using digital locks is a good idea  when it works  But when it doesn t work  it can be a catastrophe  The reliance on technology without a clear contingency is not a smart way of doing business    It was   am and we had arrived at the apartment only to find that the digital lock had malfunctioned  inhibiting us from using the code to enter  We called customer service and they attempted to help us get in using new codes and digital codes but to no avail  I appreciate all the help Oshane provided however this was unacceptable  We were informed that there was no other way into the apartment and that there were no keys to enter the apartment  We were told that we had to travel to a different building  Mind you it was   am  As we were leaving  we were stopped by the front desk who ultimately found a way for us to enter    The next morning we were unable to leave our apartment without a way to re enter due to the broken digital lock  The locks were eventually fixed hours later    The apartment was ok  There was construction every morning and from time to time the bathroom sink would gargle and backup with old water  smelled unpleasant   A few stains on the couch  Furthermore the internet that services the apartment was not equipped to handle working from home     I requested compensation from management but my calls have done unheard  This is most frustrating as our experience getting their affected our trip thereafter and we ve been ignored by management  I demand compensation  Very disappointed in my stay with zen city  I ve stayed with zen city before   I also used to live in the building so I was anticipating a similar experience  However that was not the case at the start of our stay  You d think that using digital locks is a good idea  when it works  But when it doesn t work  it can be a catastrophe  The reliance on technology without a clear contingency is not a smart way of doing business    It was   am and we had arrived at the apartment only to find that the digital lock had malfunctioned  inhibiting us from using the code to enter  We called customer service and they attempted to help us get in using new codes and digital codes but to no avail  I appreciate all the help Oshane provided however this was unacceptable  We were informed that there was no other way into the apartment and that there were no keys to enter the apartment  We were told that we had to travel to a different building  Mind you it was   am  As we were leaving  we were stopped by the front desk who ultimately found a way for us to enter    The next morning we were unable to leave our apartment without a way to re enter due to the broken digital lock  The locks were eventually fixed hours later    The apartment was ok  There was construction every morning and from time to time the bathroom sink would gargle and backup with old water  smelled unpleasant   A few stains on the couch  Furthermore the internet that services the apartment was not equipped to handle working from home     I requested compensation from management but my calls have done unheard  This is most frustrating as our experience getting their affected our trip thereafter and we ve been ignored by management  I demand compensation 
441993811701557684,Not responsive  passcode was not sent until I stand by the door and make a phone call and test code and change the code and test it again  It was    outside  I have to wait for them set the passcode instead of they set it up before I arrive   In the morning I make up my mind and prepared to go to school for my first class in new semester  the door of the building is broken  and it is broken for a long while  which they did not mention at all  My Uber cancelled my trip to school and charged me    dollars for waiting  The only way out seems to be the path through the dumpster and yes  it is    outside  I did not go to my first class due to it  Assuredly I asked help from host  not body replied to me  I have to walk all the way through that dumpster and detour to the door of the building and enter the passcode and the people inside of the building can get out   Nobody will help you when you were in trouble there  And room is old I can accept that as the price is relatively low  For cleanliness  you can tell the hair of others in the towel  etc  And people lives in upstairs is quite active   Location is ok  but I would recommend some else to live if you need food and water 
431808837862449605,Very unprofessional and in person know when the situation arises and they think by switching you to another room that they rectify the issue but they don t and their system is very automated so you only get to talk to him and if you press the right selections when you call the host number  Stay with a private house do not use in city they are running more like a business than a personable ran Airbnb The fact that I was not reached prior to me arriving to the unit even though you say you tried she still mean something in regards to me being compensated for the inconvenience and poor communication by the same city staff the reps on the phone we re very nice but it seems like they were not given the correct information to even let me check in timely and the new unit that they try to move me to and I asked for compensation by a partial refund and didn t get it the second unit that they move me to was a smoking unit so it smelled like smoke and it was much smaller the bathroom was very small and didn t have much room for me to move around and I m definitely not pleased I will not be using Sin City again unless they resolve this issue they try to say that they would not give me a refund and I do not think that is fair because I waited almost an hour before I could get in the new new room The fact that I was not reached prior to me arriving to the unit even though you say you tried she still mean something in regards to me being compensated for the inconvenience and poor communication by the same city staff the reps on the phone we re very nice but it seems like they were not given the correct information to even let me check in timely and the new unit that they try to move me to and I asked for compensation by a partial refund and didn t get it the second unit that they move me to was a smoking unit so it smelled like smoke and it was much smaller the bathroom was very small and didn t have much room for me to move around and I m definitely not pleased I will not be using Zen City again unless they resolve this issue they try to say that they would not give me a refund and I do not think that is fair because I waited almost an hour before I could get in the new new room Due to the rep not knowing the access codes and giving me the wrong access code which lock the door
427448767978231621,Everything was nice   Just like the pictures    The only negative things we found was the apartment smelled like smoke     really the whole building did   We found ashes on top of the fridge   Lastly  there was a book on the table in the living room and it had nude pictures in it   which I felt was disgusting if someone was staying there with children   Overall it was a decent place to stay   Beds were amazing and it was great pricing for the stay  Everything was real nice   The only negative that I found was that the building smelled like smoke especially inside the apartment that we had  We actually found ashes on top of the fridge   lastly  there was a book on the table in the living room that had nude pictures in it that I found inappropriate if children had been staying there   Other than that  everything els was nice  
426082917545708712,I was disappointed with my stay here  The unit had a bad smell as soon as we checked in and I immediately alerted the host  however while their communication was good  it was not followed up by action  They offered ozone treatment etc  but did not actually do it even after I told them to go ahead to schedule it  All the window AC s were terribly dirty and had the red light on requiring clean  Walking on the floor bare feet left you with black soles  All this also I told the host but nothing was done about it  Cleanliness is a big thing with me and this unit failed completely in meeting my standards  The sofa was dirty with stains on it   and the whole place looked tired and shabby  This unit is not worth the price we paid 
426039602752521685,We were very dissatisfied with our unit  We had to call to get a code for the outer door  The apartment was unlocked  The trash cans had not been emptied  A water bottle and trash was on a windowsill  The trash cans had not been emptied  Dirty towels were left in the laundry hamper  There were no hand towels and wash clothes or towels for the kitchen  There was no coffee or filters  I called the hostess and she seemed rather uncaring  She offered a one bedroom unit for the three of us  That obviously would not work  She wanted pictures so I sent them  We clean the washer which smelled horrible because it stays closed all the time   The lint filter in the dryer was stuffed  We stayed up till midnight washing linens so we could sleep  The sheets on one bed were on sideways  The next day someone changed all the sheets and left clean linens for the bath and kitchen  They emptied the trash but did not sweep  Hair is in every corner  It was advertised as three bedroom and two baths  The shower in one bath did not work   I cannot believe this unit can be charged for  I will never rent from Zencity again  
421730432257979730,This place was not kept up and kind of dirty  The pictures made it look much better than it actually was  There were things hanging off screws in the walls  dirt coming out of the bathroom vent  a red and brown stained tub and shower curtain  black marks all over the walls  the place just didnt feel kept up  It definitely seems like a place that a corporation owns and no individual actually sees it  Some more upkeep of the property would be beneficial  It just didnt feel like it was in good shape    and it felt very dirty 
