listing_id,id,date,reviewer_id,reviewer_name,comments,private_feedback,clean_comments
27957424,449798583,2019-05-07,140466213,Sarah,"This is in a great neighborhood and is a nice apartment. I would not stay there again though because the bedding, bed, and around the bed were disgusting. To be fair, I have OCD but it should be normal protocol for people to check for bedbugs when traveling. I saw what could be evidence of bedbugs. And the bedding was nasty. I had to go to Target and buy my own sheets, pillow, and comforter just for one night. Because there is no way I would risk bringing bedbugs home with me. Otherwise it was ok with plenty of room to yourself, easy to get in and out. The host was very receptive to my feedback. I think it's a busy Airbnb so they may have a lot of turnover and I could have caught them at a time where they didn't do as good of a cleaning job as usual.",Thank you!,"I check for bedbugs so I inspect the bed and around it with a flashlight. First, the comforter had pronounced stains and there was long hairs all over the bedding. It looked like there were possibly bedbugs under the mattress. The floor around the bed had food crumbs and looked like it hadn't been vacuumed in years."
27962742,446928741,2019-05-02,231682850,Daphyne,It feels like a hotel. It’s nice and modern. It doesn’t feel homey in anyway... there’s not a lot of soap in the bathroom (again it’s like a hotel) and there’s nothing in the refrigerator. There’s no room for garbage either. This is the type of place you’d stay for a night or two.,,There was stuff on the sheets and hair.
22265007,627373633,2020-06-01,263975496,Elizabeth,"Place was nice. Couldn’t figure out how to change the thermostat and  host was not very helpful. The screen on the thermostat was not turning on at all. Also couldn’t figure out how to turn on the outside lights that were located on the patio (host did not respond at all about the lights) The location of the place was very nice, not too far from downtown or some nice restaurants.",,Areas were filled with dust.
38268915,616427415,2020-03-09,85359935,Delia,"Our stay in this place was supposed to be a joyful one. We came for a few days to celebrate my daughters’ birthday. This place is very close to Barnes hospital which made it a perfect location to get together. 
It was very disappointing from the beginning. The bathroom was not cleaned and full of hair from the previous guest. A set of dirty linens was thrown in the closet if bedroom number one and in bedroom number 2 the linens were full of hairs.
The company’s response was slow and unapologetic and they did nothing to remediate the situation. We had to buy our own sheets. The next day they came to clean but, in spite of our request, they did not leave toilet paper.
Avoid this place at all cost.",,The unit was not cleaned after the previous guest left. The linens were not changed and the bathroom was full of hairs from the previous guest. We had to buy our own toilet paper
36604022,624952307,2020-05-16,187900940,Donell,good for the value,,Cabinet
25983750,441243680,2019-04-21,72761022,Shavon,GREAT place to stay! Very clean and has everything you need. Responsive hosts too!,Thanks for being a great host and being so accommodating!,Bathroom was great! But there was an issue with the toilet and the fact that maintenance wasn’t available was the only down side
25983938,617317015,2020-03-12,339912446,Xhosoli,"Stay away. These places are not clean like they are said to be. I have videos and photos on my phone of how nasty the rooms were. I had 2 different rooms. Also, my wallet and license and ID along with 3 bank cards of mine were stolen from my room. I was the only one I my room besides Zencitys house maid. I spoke with Marty who is 1 of the owners of the apartment and he had a total attitude and did NOTHING about my things. He was suppose to call me back but after waiting for his call for almost a week I decided to call him back just for him to not even remember who I was. That showed right there that he didn't give a damN about my items missing from my room with only his personnel having access to my room... Makes me wonder if they go around scamming & frauding people. I will never stay in ZenCity properties again! I will also tell my friends & family to avoid them as well.",,Bathtub wasn't clean. Inside of microwave wasn't clean. The refrigerator wasn't clean neither was the bed sheets/blanket or the hangers. So much more besides an unclean room has made this the trip from hell~
39868719,615861615,2020-03-08,57454656,Maria,"I would highly recommend this apartment for a group of up to six people. It is located conveniently in the CWE with access to dancing, restaurants of all price ranges, bookstores, ice cream shops, etc. Check in is incredibly easy with a lock box. The rooms are spacious. The apartment building is quiet. Down side is that it is a first floor apartment, so whatever is happening on the street or at the entrance can be heard inside the apartment.",,The towels had a pungent smell of cigarettes. The place itself was clean.
35845966,635997055,2020-07-08,1238382,Damani,The apartment is not bad. I felt safe the whole time I was there. It is convenient to many shops and restaurants. The mattress was super firm as were the pillows. That was tough to get comfortable with.,I would just suggest responding to request would have made the stay more satisfying. Other than that I was fine.,Walked into the bathroom to find the toilet filled with hair and other particles. It was on and around the toilet which made me feel like the whole apartment wasnt cleaned properly. It was nasty and Especially during a global pandemic
25456143,438842802,2019-04-17,112796523,Andrea,"Overall, the location is great and there were plenty of restaurant options, especially cafe like restaurants.  I do not recommend staying here if you are not willing to pay for parking. It was hard to find a free spot and the meters are only for 2 hours at a time. My friends and I stayed one night and we got a very close spot through Spot Hero for $35 for a full day. It is a good space for a quick stay that is close to the city, but not in the midst of the hustle and bustle.","Zencity, 

I think you property was in a great area and the check in was flawless. We felt very safe and we thank you for keeping up communication with us and responding to our needs. We ended up finding parking and working it out with you all and Airbnb, but I really feel that free parking should not be included as an amenity option. The rooms and kitchen were really clean, but the common areas just missed the mark for us.  

Thank you for letting us stay, it was a pleasure.","The furniture and the rug in the common area was not completely clean, there were small hairs, and residue on the window area and table (not wiped down). In the bathroom, the shower lining curtain was a little dirty. Couch could have been vacuumed and touched up a little more as well."
28517080,437443289,2019-04-14,86047880,Richard,"Great location - convenient for Lincoln Park, Old Town and the L to get into the city","Hi.
The apartment location is really good. The challenges we had were a lot of the light switches didn't work and there were cleanliness issues in the main bathroom and kitchen. Also, when taking a bath there seemed to be a slight leak which we couldn't work out where it was coming from. With respect to the shower - because there was only 1 shower curtain, water tended to get everywhere - would be easy to buy a second shower curtain and also maybe replace the shower-head?","Bathroom floor seemed to be dirty as did the bath and window area. Kitchen was also slightly dirty.
ALso - the entrance hall to the building and stairs to the apartment were dirty"
23436978,437331940,2019-04-14,35562004,Tiffany,"This location and space was perfect for  a weekend getaway! In the center of Hyde Park, where you're in walking distance from EVERYTHING you need -- I'd highly recommend this spot. For a weekend with a friend/partner, it's just enough space. The only issue we had was the internet service. It was not working well most of our time there, but we were out so much that didn't really matter. Something to check in on when you arrive or inquire with this host. Overall, amazing experience and would definitely go back again!","Zencity was responsive and made our stay amazing! With its close proximity to amazing coffee bards, shops and restaurants -- it was literally a perfect location for everything we needed for this quick getaway. Appreciate the team that hosted us, and would definitely stay again!",A bit worn and needed of a bit more cleaning around the bathroom window and baseboards.
39485010,611314369,2020-02-26,138967473,Duy,"I checked in after 3:00 PM as I was instructed. However, the apartment was still a mess when I walked in because the cleaning lady was still working in the apartment.",Need to improve your internal communications between the host and the cleaning service.,Dishwasher was still running when I checked in
25491473,435834050,2019-04-11,231880078,Ashleigh,Spacious apartment with bonus bathroom off the bedroom and lots of closet space. Found parking right out front of the building which was great. 5 minute walk to the train station. Very nice neighborhood. Bed was comfy and the tv had everything on Roku that you could imagine. Had a great stay (:,,Little bit of hair in the shower.
39334572,626688366,2020-05-29,347454245,Jackson,"Great location, overall good apartment, but bathroom needed some maintenance before we got there.",,The bathroom smelled like sewage and we had to close the door to the bathroom or else the whole apartment stank. Kitchen had some half-used food supplies from previous occupants.
