id,concat_comments
618658345,its in a great neighborhood and close to a lot of cool places  theres quite a big price jump at the end of checking out so be a bit weary of that  also the heater was not working as well as the couch outside near the heater not being the cleanest  the street parking seems to be free but its a bit confusing on when you can use it   obviously the weekend is fine  but during weekdays we werent so sure  other than that I had a great stay here and would love to come back with some things being closer paid attention to  just pay a little closer attention to detail  the guests before me I assume had leftover food in the microwave  the shower had quite a bit of mildew on the wall  as well as that weird older piece having some  the bathtub was missing a knob so I didnt feel comfy using it  it would be nice if the heater outside worked as well as the couch being a little cleaner so it was more useable  also the odd price jump to almost double was a bit disheartening and im not sure why it happened  other than that its in a great neighborhood and close to a lot of things that were very handy  I would love to stay back here with some improvements and a better understanding in the change of price  thank you  the price about doubled when I checked out  wasnt sure why especially with there being some knicks and dings on the walls  as well as not having a working heater outside that we assumed was in working condition
616427415,Our stay in this place was supposed to be a joyful one  We came for a few days to celebrate my daughters birthday  This place is very close to Barnes hospital which made it a perfect location to get together   It was very disappointing from the beginning  The bathroom was not cleaned and full of hair from the previous guest  A set of dirty linens was thrown in the closet if bedroom number one and in bedroom number   the linens were full of hairs  The companys response was slow and unapologetic and they did nothing to remediate the situation  We had to buy our own sheets  The next day they came to clean but  in spite of our request  they did not leave toilet paper  Avoid this place at all cost  The WiFi was not working  The username and password was incorrect The host kept avoiding the issue of dirty linens and bathroom  They insisted that we make the bed with a non existing spare set of linens  Actually there were dirty linens crumpled up in the closet  A clean space and a more responsive host  We will never again stay with this company 
624952307,good for the value
617317015,Stay away  These places are not clean like they are said to be  I have videos and photos on my phone of how nasty the rooms were  I had   different rooms  Also  my wallet and license and ID along with   bank cards of mine were stolen from my room  I was the only one I my room besides Zencitys house maid  I spoke with Marty who is   of the owners of the apartment and he had a total attitude and did NOTHING about my things  He was suppose to call me back but after waiting for his call for almost a week I decided to call him back just for him to not even remember who I was  That showed right there that he didnt give a damN about my items missing from my room with only his personnel having access to my room    Makes me wonder if they go around scamming   frauding people  I will never stay in ZenCity properties again  I will also tell my friends   family to avoid them as well  So much  too frustrated to write  Today is Friday  I have literally been waiting on a call back from Zencity since Monday March  TH  Ive made at least    calls to them and even spoketo someone named Marty who was suppose to call me back on Monday as well and I still have yet to hear from him  My wallet  license and ID stolen from the room yet I was there alone  The only person that had access was the cleascleancleaning lady or maid so she called herself  After my wallet was stolen from the room I left my ID in the room hidden since it was the only identification I had left   when I checked out of the room I accidentally left it in there  The same day I went to get it but the security at del prado werent allowed to let me in to get my ID so I called Zencity management and spoke to Marty  Owner Manager  letting him know the cleaning guy for the apt was right across the street cleaning another apt   if he could give him the okay to go in the unit I rented and he said NO  After he asked me exactly where I left my ID and he said no theres nothing he can do     I believe he could be using my information   committing fraud  I just dont understand why he wouldnt let the cleaner in so I could get my stuff  I will NEVER stay in any ZenCity properties again  I will also let my friends and family know to NEVER stay in them as well  I also took videos with my phone on how filthy the place was and I had   different rooms  They both were dirty  The location was fiNe  A clean apartment and honestly a few more things Im just to frustrated to write about right now 
611314369,I checked in after      PM as I was instructed  However  the apartment was still a mess when I walked in because the cleaning lady was still working in the apartment  Need to improve your internal communications between the host and the cleaning service   A window blind did not work   The room was still being cleaned when I checked in  at     PM   The cleaning lady said she was not aware of a check in on the apartment  She spent almost another    minutes to finish the cleaning  I received a message from the host that the apartment was being  touched up  because it was unoccupied for a while  I did not really care who was telling the truth  but I was disappointed when walking in the apartment that was still messy as it was being cleaned 
626688366,Great location  overall good apartment  but bathroom needed some maintenance before we got there   Just wish the bathroom didnt smell  clean bathroom
434319501,This is a lovely apartment with a wonderful view   The elevators in the building  however  are not all working but they get you there with some wait   There is no parking on premises but mostly its fine to park on the street  Would have loved to give this a   star but couldnt because the kitchen is ridiculously under provisioned  Only two forks  two knives   Not a salad or mixing bowl to make a salad  I had to use a pot  One small limp towel to dry  Worst provisioned kitchen in all my AirBNB stays  and that includes a disappointing stay in Istanbul  The kitchen is ridiculously under provisioned  Two forks  Two knives   Not a salad or mixing bowl to make a salad   No cleaning liquids to clean the counters   Not even pepper or regular salt as basic provisions  Worst provisioned kitchen in all my AirBNB stays  and that includes a disappointing stay in Istanbul   When you list you have a kitchen  it should be properly provisioned   Confusing address and directions to the building A better equipped kitchen
606791298,The location was the best part of this Airbnb property  Lafayette square restaurants and bars are well within walking distance  However one issue that I will remember in the future was with parking  The ad stated a gated parking lot was provided to guest with access from a key fob  When we arrived the fob was not there  I called Zencity and they told me previous renter took it and they didnt have a replacement  I was told sorry for the inconvenience  We had to park on the street for the two day stay which can sometimes be tricky in busy St  Louis neighborhoods  The apartment was very nice but one thing I noticed was that the floors were dirty  There was drywall dust on several places and I wouldnt call the place sparkling clean  Nice appliances and kitchen but beware of the limited hot water supply  Its a small tank and forces a very quick shower  Kind of a bummer if you need to relax or shave  Pluses and minuses for this place  The location was convenient and the building seemed safe  For      a night it would have been nice to have a sparkling clean place  parking as listed  and extra towels   Gated parking was listed and a selling point however  the fob was not there and a replacement wasn u    t given  I realize this was an issue with previous renter but plans should be in place to provide a backup to next guest  I u    m sure there u    s s fee for lost fobs that covers this expense for owner   Gated parking was listed but fob was not there and no replacement was given  On the street parking is fine but doesnt guarantee a spot close to building or safety of vehicle  A bit cleaner  more towels  and parking issues accurate and correct 
604558659,The place was large  pretty clean  although it could use some remodeling  The water pressure in the shower was pretty low  The main issue I experienced was the failure of the management to provide WiFi  as promised in the description    I contacted them immediately about that  and  unfortunately  they did not fix the issue until the final day of my stay  While their responses regarding this issue were relatively prompt  they were unprofessional  In fact  they provided   additional passwords for me to try  and they assumed I was not competent enough to select the right network and enter the password correctly  The last straw was that on the last day  when I informed them that the WiFi was finally working  they claimed that nothing had changed on their end  and that the WiFi was working during the entire stay  which implied that I was lying about the WiFi not working earlier    If you are looking for a bargain basement price for a stay in Central West End  this is a good place to stay  However  if you need to be confident about having working WiFi   or if you would like competent management in case another issue arises  look elsewhere  Everything was good  but your failure to provide WiFi was a material breach of trust   WiFi was  listed in the description but not available on the first two days out of my   day stay  The entry code was changed last minute  and I only found out because I messaged the host about checking in early  Providing WiFI as advertised
604274595,Appartement tr s bien situ   calme   MAIS attention   internet et leau chaude   Sur   jours internet na fonctionn  quun seul jour et personne pour r gler le probl me        Nous ne sommes pas des techniciens dinternet et ce nest pas   nous de r soudre le probl me    Par ailleurs  la veille de notre d part nous navions plus deau chaude et ce jusquau lendemain et encore une fois  personne pour r soudre le probl me     En revanche  ils savent envoyer des e mails pour vous rappeler lheure du d part   Suis extr mement d  ue par la r activit  quant   la recherche de solution  Aucune solution nous a  t  apport e ou propos e     Je dirai plut t StressCity  Ils ne m ritent absolument pas le Zencity Label         Sur   jours nous n u    avons eu qu u    une seule journ u  e e avec internet et tous les autres nous avons du utiliser notre propre r u  e seau   Du coup   u  e  qui devons nous envoyer nos factures de surconsommation    Zencity n u    a pas  u  e t u  e  capable de r u  e soudre notre probl u  e me  En revanche  ils nous ont envoy u  e  des personnes pour checker l u    alarme incendie  De qui se moque t on     Personne n u    est venu pour r u  e soudre internet  De plus  la veille de notre d u  e part et jusqu u    au d u  e part  nous n u    avions plus d u    eau chaude et personne pour r u  e soudre le probl u  e me      Aucun SAV   Quand cela les concerne ils r pondent vite et lorsque vous avez un probl me  ils ne cherchent pas   le r soudre    
672418662,Average stay  looks exactly like it is  Floor and bathroom are dirty however  Make sure to clean  Looked exactly like it is 
626651694,The place was nice and clean despite a few mishaps  Communication couldve been better as well  The place was nice but the few mishaps couldve been prevented or handled a little better  The window was literally loose off the hinges when it fell with one simple touch  Also  I was not at fault for the tv table  I was barely even there let alone using the tv or the stand  I do apologize for the mishaps and wish everything couldve went smoother 
613224745,The location was very convenient  there are food options in walking distance  Comfortable beds and bedding  Price was fair   Cons  There is only one set of keys available so if you are traveling with others you all have to be on the same schedule  coming and going   The place wasnt cleaned thoroughly  The floors had dirt dust  and the showers hadnt been wiped down  There was no coffee pot  but a grinder      A lot of light comes into the larger bedroom which makes it hard to sleep in nap  The gym is in the basement and the equipment was nice but it was all dirty  Please pay attention to cleanliness  add a coffee maker  and two sets of keys should be standard for a   bedroom place  The host responded but didnt help with my issue 
428063106,Good location  Unfortunately the neighbors are super sensitive to noise and at  pm on a Saturday  they complained about us playing music through the tv at     volume  Being let in was the worst issue we had because the call box wasnt working and the company said there wasnt anything they could do for us  Once we finally made it in  it was pretty smooth otherwise  Be prepared for a leg workout making it up all of the stairs though  When I called from the directory box to be buzzed in  the person on the other line couldnt hear me  I tried calling multiple times to no success  I tried calling the host but I was connected to an operator for the company and he said there was nothing he could do about the situation 
637453214,THE GOOD  Gorgeous historic building exterior was fantastic for our photos as we are celebrating a girlfriends upcoming wedding  Park and beach just across  plenty of room with laundry    THE BAD   We sanitized the whole kitchen area and living area that we had to touch as weve noticed that it wasnt clean  Host was veeeerrryyy slow to respond and offer no help  Sofa was very dirty and stained  hair  pieces of candy wrapper under cushion  we had to put over a comforter to sit on it  Kitchen was not cleaned  fridge smells  microwave splatters all over inside  oven handle and front is sticky  Tons of dead bugs in window sills  NO WIFI our entire stay  Their router modem was faulty   nd bedrooms bed was very light and slides on the floor everytime
706740163,The location was good but is it worth the hassle   The keypad info was wrong and there was no fob in the room for access to the apartment and parking garage   I had to find a place to park my car for the night because there was not a fob to get into the parking garage   Even after contacting the host  no fob  The keypad info was wrong and there was no fob   I had to find a place to park my car for the night because there was not a fob to get into the parking garage 
424006464,The area was nice I had no problem with finding things to do but the host responded very slow or not at all  I had an emergency that I had to attend to at home so I was going to leave a day early but they refused to give me any money back  they also never responded to me when I asked them why I couldnt receive any money back being that I let her know the day before I was going to leave  I also messaged them letting them know I was leaving at about   and no one responded till    am the next day  I just feel like the communication should Have been a little better and I should have been told why I couldnt receive any money back but I didnt even get that 
638181673,Was not exactly worth the price  Kind of dirty  But if you like a good view the rooftop is really neat  The decor of the apartment was nice  it just wasnt clean  and there was a bad smell the whole time in the kitchen  It was okay  but there was a horrible rancid smell in the kitchen  There was very long dark hair all over the bathroom and shower  The air conditioner in the living room is pretty gross honestly could use some good cleaning  Both of them need filters changed too  Your floors definitely need mopped  we could not walk on them with bare feet without our feet becoming black  But we loved the rooftop view  and the decor of the apartment  If it had been clean  Was not very clean at all
623347108,The unit was fantastic  Price was cheaper than expected for the unit  It was clean  nice furniture  comfortable bed   Location was great  Check in instructions were perfect   Dishes were sparse but sufficient  I would have liked wine glasses and they didnt have any but maybe thats expecting a bit too much  The view was amazing   The only downside was that communication was bad   It took the host about a day and a half to respond to a question I had about amenities   Next  the dishwasher didnt work  I discovered this on a Saturday and messaged them about it   They didnt reply until      on Tuesday which was   days later  Plus  my stay ended Wednesday  and I had to be out by    so obviously the dishwasher wasnt going to be fixed during my stay  I had to do dishes by hand which Im not a fan of  There was no drain plug for the sink so I used a pot to wash the dishes in  There was only one hand towel  and I was using it to dry my hands so I used a bath towel to let the dishes air dry   When Zen city did reply about the dishwasher not working  they said   perhaps there is a switch in the kitchen which will turn on the dishwasher since it doesnt seem to have power  Let us know if we can do anything else for you during your stay    You could have replied much sooner  tried to fix my dishwasher much sooner  and DURING my stay  So you havent done anything for me in the first place  let alone  anything else      Perhaps there is a switch     Because you DONT KNOW your own unit     So they obviously had not called maintenance yet since now they were attempting to get me to trouble shoot   I had looked for a switch everywhere in the kitchen  as well as finding the fuse box  flipping the breaker off and back on  as well as looking for the plug in for the dishwasher  None of that fixed the dishwasher  There was no switch   Lovely how they contacted me so late after my issue that my stay was now nearly over  They didnt resolve my issue   It felt like they didnt try to resolve my issue during my stay and they didnt seem to care or act concerned  For this reason  I reduced stars  Its a shame because the place was great   Zen City contacted me a few hours before check in to move me to a different building stating there was a maintenance issue  I didn u    t mind this too much as it was a nice place  But  considering I had a maintenance issue that wasn u    t resolved during my stay  it made me feel they do not address maintenance issues promptly   It took the host about a day and a half to respond to a question I had   Next  the dishwasher didnt work  I discovered this on a Saturday and messaged them about it   They didnt reply until      on Tuesday which was   days later  Plus  my stay ended Wednesday  and I had to be out by    so obviously the dishwasher wasnt going to be fixed during my stay  I had to do dishes by hand  There was no drain plug for the sink so I used a pot to wash the dishes in  There was only one hand towel I was using to dry my hands so I tased a bath towel to let the dishes air dry   When Zen city did reply about the dishwasher not working  they said   perhaps there is a switch in the kitchen which will turn on the dishwasher since it doesnt seem to have power  Let us know if we can do anything wise for you during your stay    You could have fixed my dishwasher much sooner  and during my stay  So you havent done anything for me in the first place  let alone  anything else      Perhaps     Because you DONT KNOW your own unit     So they obviously had not called maintenance yet   I had looked for a switch everywhere in the kitchen  as well as flipping the breaker off and back on  as well as looking for the plug in for the dishwasher  None of that fixed the dishwasher  There was no switch   Lovely how i was contacted so late after my issue that my stay was now near over within less than a day until check out 
623553552,The most generous review I can give is that there are safer  more secure neighborhoods just blocks away  with hosts that go out of their way to make sure you have everything that may need  not to mention thats listed    This is unfortunately  not one of them  and I would have to question any listing with this management team behind it  Three days without access to a bath towel is really unacceptable  And with everyone overdue a trim a hairdryer is almost as much  No big deal if I would have known  please dont list it if its not going to be there   My apologies for breaking the French press that was in the unit when I arrived  btw   French press is not a coffee maker especially to those that dont know how to use one  but youll find I did replace it with a better model at least its not missing parts allowing it to come apart and break  And if the Monarch was supposed to be a solution for coffee   those prices are higher than Starbucks and an insult to your guests and to the community when people are eating out of dumpsters right behind the building  I cant recommend this listing at any price  BTW  your cleaning team arent cleaning the drawers  desk drawers  or under the bed  And   gauze squares doesnt make a  st aid kit found that one the hard way when trying to clean the French press and  lose the white bedspread  its stained near the top  center under the pillows  you can see it when the light shines thru the uncurtained windows  I do thank you for adding the extra day  I did appreciate the gesture even when you charged me almost double for the convenienc   Good luck to you   There werent any parking meters near the building  but it is limited to   hr between  am and  pm M F but thats only IF you can find a spot to park parallel against the curb and good luck with that if you drive anything larger than a sub compact   Several different people communicated with me  only one introduced themselves  And I dont think they share notes with each other about issues or what exactly is going on  They really should update their listing to let guests know that they are building a large apartment building about   ft away from one of the exterior walls  This apartment was on the opposite of the construction and it woke me up every morning  Behind the apartment building is also a very large  boarded up  vacant building that seem to be a gathering place for the homeless at night  The police do come thru and clear it out at least once a night  I guess you get what you pay for   so be prepared to bring towels  a hair dryer  an extra blanket  coffee  a coffee maker  sugar  dishwashing tabs  a mattress pad   there arent even any curtains  Dont forget earplugs as the walls are very thin and your door is right next to the back exit to the stairwell  Those steel doors with the bar across the middle you compress to open like you might find in a school   and just as loud 
444920817,NA Hi Brian thanks for letting us stay at your house  The only suggestions I have is more blankets pillows towels  Other then that the house just was not very clean  Hope this helps you in the future 
630076064,Nice place to chill  Bathroom had a leak  There was a pot catching the water  It smelled like mildew in there  Bed was comfy  Couch very sunk in  Appliances and kitchen was nice  Overall if they fix this place up a bit it would be a wonderful stay 
589152967,Awful experience  inaccurate listing  Hosts were helpful with initial issues but once the issues grew  They went silent and were no longer helpful  Apartment was dirty  no trash bags  no actual coffee maker  dryer did not work  I would not trust Zen city with another trip of mine  You were quick to respond to any initial issues but once you were asked for a partial refund you went silent and no longer were so helpful   We initially had no trash bags in our unit at all to throw any of our garbage in  They didn u    t deliver any until the next day around noon  Coffee maker was a French press which we had no idea how to use ad said floor to ceiling windows but they were not  It did have a dryer but the dryer would not stay on for more than five minutes at a time before it turned off I had to keep on turning it back on to get our clothes dry  Also the Internet lagged and it made it difficult to stream anything on Netflix  I did reset the router but it didn u    t help   The address given on the Airbnb reservation was different than the one on the check in instructions which made it confusing  Also  The deadbolt would not lock so we had to rely on the handle only  The host responded to issues at first but once I requested a partial refund they asked me to send pictures so their cleaners could come by and clean everything up and I said it was unacceptable that it shouldve already been clean when we walked in  They stopped responding and never gave me any refund  There were a lot of bums that resided on the sidewalks around this hotel 
710988449,Gday toeat cute place that is easy to access  the hardest part really is street parking  This is an old building so it will be very drafty  It was a bit cold during my stay  Grub Hub also refused to read the address as accurate so I had to o get things rather than have them delivered The washing machine only runs hot warm water  so dont mix your colors    The first night I was there  a pipe leaked all over the kitchen  It was a mess  The repair guy took half a day to get there  and left without fixing it  Host wanted me to confirm it was no longer an issue after I repeatedly asked for another repair man to be sent    As the kitchen was still a soapy swamp  They eventually did  on the second day  with no warning  and he fixed it immediately  He also checked other kitchen water features to ensure they were working  I had to ask for a partial refund for not having a kitchen for two nights and a whole day    The blinds in the space were mostly damaged or dysfunctional  and one of the bedroom doors had no functional hanle  lock or catch  It was also hollowed out  Host was made aware of these issues  but check your doors before you settle in  Thank you for working with me on the pipe leak   Washing machine only runs hot   Host asked for confirmation that a repair man fixed a pipe  after I repeatedly ask for them to send another because the first didnt fix it  A major leak sprung in the kitchen and it took forever to get fixed 
584025767,Not great  Skip this listing for now until they get their systems improved  First negative review Ive written over dozens of stays  Cigarette marijuana smoke really triggering our breathing at night  Check in was not smooth  Waited about an hour to get the key problem figured out  No shower supplies  The place is bare bones   a bed  a few glasses  and a tv  Awful refund policy since we had to cancel     back  Really negative stay  well choose a hotel next time   Listing said washer and dryer  none in this unit   Shower supplies  better check in  all around could be improved 
709619727,Very nice in many ways  such as being large and spacious  However  the bathroom and kitchen were not clean  If the apartment was fully cleaned it would be an incredible place 
