id,concat_comments
616427415,The unit was not cleaned after the previous guest left  The linens were not changed and the bathroom was full of hairs from the previous guest  We had to buy our own toilet paper
624952307,Cabinet
441243680,Thanks for being a great host and being so accommodating  Bathroom was great  But there was an issue with the toilet and the fact that maintenance wasn t available was the only down side
617317015,Bathtub wasnt clean  Inside of microwave wasnt clean  The refrigerator wasnt clean neither was the bed sheets blanket or the hangers  So much more besides an unclean room has made this the trip from hell 
615861615,The towels had a pungent smell of cigarettes  The place itself was clean 
438842802,Zencity    I think you property was in a great area and the check in was flawless  We felt very safe and we thank you for keeping up communication with us and responding to our needs  We ended up finding parking and working it out with you all and Airbnb  but I really feel that free parking should not be included as an amenity option  The rooms and kitchen were really clean  but the common areas just missed the mark for us     Thank you for letting us stay  it was a pleasure  The furniture and the rug in the common area was not completely clean  there were small hairs  and residue on the window area and table  not wiped down   In the bathroom  the shower lining curtain was a little dirty  Couch could have been vacuumed and touched up a little more as well 
611314369,Need to improve your internal communications between the host and the cleaning service  Dishwasher was still running when I checked in
626688366,The bathroom smelled like sewage and we had to close the door to the bathroom or else the whole apartment stank  Kitchen had some half used food supplies from previous occupants 
435834050,Little bit of hair in the shower 
606791298,The location was convenient and the building seemed safe  For      a night it would have been nice to have a sparkling clean place  parking as listed  and extra towels  The floors didn t looks like they were swept very well  There was drywall dust still on floor in several places 
672418662,Floor was very dirty when I came in and bathroom had bugs
77160655,""
613224745,Please pay attention to cleanliness  add a coffee maker  and two sets of keys should be standard for a   bedroom place  The floors were dirty as well as the bathrooms
598695634,Just lots of marks in surfaces   dust and dirt on floor from construction 
637453214,Sofa was very dirty  hair  candy wrapper  stained  Kitchen was not cleaned  fridge smells  microwave splatters all over inside  oven handle and front is sticky  Tons of dead bugs in window sills 
146736842,Thank you again for hosting us  Spare linens had hair in it 
604567368,Dirty floors
595098726,Floors looked like they needed swept mopped 
424006464,There was just a lot of holes and cracks in the walls in the bedroom but everything else was fine
589152967,You were quick to respond to any initial issues but once you were asked for a partial refund you went silent and no longer were so helpful  Bathroom floors were dirty urine residue on bottom near toilets and tile floors were dirty with residue not mopped  Kitchen stainless appliances were smeared all over 
710988449,Thank you for working with me on the pipe leak  Paint splatters  resin drips  and something I hope was pizza sauce smeared on the walls 
419171325,Fantastic place to stay  Amazing location and spot on directions to check in  Towels weren t all clean  Some had spots  others hard hair in it
709619727,The shower curtain had bits of hard soap clinging to it and the bathroom in general was not clean  The kitchen had dirty countertops and the kitchen floor was quite dirty 
709154835,Crumbs on the counter  Weird smell coming from bathroom 
584018425,We hope to stay with you all in the future hopefully during a less busy time  Our room wasn t clean upon arrival due to a mixup with the cleaning service  Zencity accommodated by extending our checkout by the amount of time the cleaning staff was there upon arrival    We didn t have enough towels for our stay but laundry soap was provided  Basic soaps for dishes and bath were provided 
627461356,you were a great host and I appreciate the stay  there was broken glass cup in the kitchen  the sink became stopped up and had the entire floor wet 
413506403,The layers of people involved in the check in process  from the front desk staff to the customer support reps  didn t know how to help us  I couldn t fault them  but I d suggest setting them up with the right info for them to be successful in helping guests  sheets did not appear to be clean
412440224,If I were to judge all rentals from Zencity by this apartment  I d be willing to rent every single time as long as it s clean and dust free  It was EXTREMELY dusty at this location  Looked like it hadn t been dusted or cleaned in months  Everything was neat and tidy  but the dust was really bad  Gladly there was a mop  broom and a vacuum cleaner  Thankfully I carry tools on me as well because the vacuum cleaner was literally jam packed with dust  Once I cleaned out all the dust I was able to clean up even more dust that was embedded into the carpets  Place looks clean now though  Pretty sure the new visitors will enjoy a clean and comfortable space       
643668067,There was an open bottle of water that was     empty with no lid  sitting on the counter 
643035881,Awesome location guys  Was hoping you would have shown me your best foot forward after the leaking ground floor mess last month  Gave me a unit that smelled of dirty diaper  Mound on the base board in the bathroom and when I emailed the issues  no one responded  I don t get it  Paul Unit had a  wet straw  barn like smell  Mold on bathroom base boards  Sent email to Zencity manager  did not respond during stay 
700614644,There were handprints all over the walls in the bedroom  and the furniture in the living dining room was very worn and looked dirty  It also smelled like chemicals  and not in the clean way   The host did not acknowledge any of this when I reached out  I even sent pictures of the handprints  they were that obvious  
580502375,Other than a few issues like no remote for the TV  no key fob for the parking garage  and no coffee maker or working gym like mentioned in your listing as an amenity  our stay was nice  Construction dust everywhere  Shower stall had hair in it  freezer had some old food dripped in there and wasnt clean  One of the kitchen chairs had food or something rubbed on the leather part where u sit 
625245065,I really appreciate staying at your place  Although I have a few things that I was a little bit uncomfortable with  I still stayed because I didnt want to hassle you or myself  Thank you for being a prompt host  The common area couch had all kind of left food particles and the bathroom had was not swept  We just found food under the air condition 
428631482,Check in was very easy  And location was great for us  However  every night as we tried to fall asleep there was constitution sounds like hammering all throughout the night  There was food left over in the dirty refrigerator  The bathtub was covered in hair  The floors had not been swept and the rug had not been vacuumed 
580439912,The location was amazing we were able to walk to a very popular area of town    The apartment decor was very nice and the beds were extremely comfortable  Kitchen was beautiful  One of the bathrooms were super clean but the other had hair all over the floor  The rest of the space was quite clean 
709497704,Thank you  Hair  dust and dirt
619710114,None of dishes were appliances were clean and had actual dirt in bowls and cups 
618579983,Thank you for a great stay  Corners of walls had noticeable dust and dirt  Strange sewage type smell lingered from closet area    perhaps from water mains  
572981534,Please next time try to be more accurate with your description and if doing renovations make sure you have disclosed that to the person reserving space  This was hugely disruptive for my business trip  The apartment had just finished renovation  There was a little dust and it looks like someone used the toilet and forgot to flush 
592164656,Did not feel welcoming as signs listed reminders of being quiet and no smoking   Please note that on Saturday night the marijuana smell from next door was very  intense and wafted into the master bedroom   There was no soap in the soap dispensers anywhere downstairs   No instructions on how to operate the television   It would have been nice to have your suggestions of favorite diners and how where to pick up public transportation   Most of all was the price being listed so much lower than actual  Some mold around shower 
572368951,I listed earlier the accuracy of the listings details  and I also wanted to mention privately that I did notice some dusty surfaces and even some spots that just didnt look fresh   clean  I only tell you because it appears that you are not a personal owner and may not actually see the place all too often  I certainly did not have a problem  AT ALL  and loved everything about it  Dust on countertops and stains in sink  Very minimal  but not as clean as a hotel 
571849973,I truly hope that you read and understand the comments that I submitted  I can tell that the furnishings are nice and that once the building is done this will be something that I am sure a lot of people will enjoy  I understood when I agreed to stay that the  common areas  were under construction but perhaps a quality check run should have been made to the apartment to ensure that the issues I mentioned were resolved  Particularly the lock  Best of luck in your future endeavors  When I arrived to the apartment there was a water bottle full of paint water in the sink  While I understand that the entire building is under construction this was disappointing  Furthermore  when someone came to inspect the lock and why it was not working  there were no batteries   they took away the trash can that had been in the apartment   so I had to place all trash in the tiny bathroom trash can 
580901909,We made due with the space  but it was pretty filthy when we got there  Most disturbing was the hair all over the bedding and towels  I am not sure whether it was an issue of where laundry is done or if the maid is not keeping an eye on her own hair while cleans  but it was very upsetting  The smell of the shower curtains was also incredibly unappealing and it was difficult to feel clean at any point during our stay  You were very responsive in your communication and we appreciated the convenience at check in  Thank you  There weren t dust bunnies all over the floor in the living and bedrooms  the closets were dusty  there was hair all over the bedding and towels  and the rug in the loving room was filthy  The shower curtain smelled bad  We ended up vacuuming  bought new shower curtains  Swiffer sweepers  and Clorox wipes  and cleaned ourselves 
401061333,Love the space  Only complaint other than the mold in the shower was that the coffee was expired and there were just a few lonely little beans in the bag  The unit was also so uncomfortably hot we ended up opening all the windows for the evening  Shower
580393993,Please fix the radiator in the bedrooms they hissed ALLLLLLLLL Night making it impossible to sleep other than that dishwasher was broke but we didn t need it Was something on the bathroom floor
616042470,I never received a key fob  Crumbs on counter  Had to wash dry the towels to get a wash cloth which there was only   of  Received checkout instructions after I was already gone  I came for a funeral there was so much going on i wanted to not have to think about the place im staying  I was embarrassed that i told my family to stay there   for my moms first airbnb experience to be like that Crumbs all over counter i had to wash to get a clean face cloth
618602674,Overall happy with the space but very unhappy with the lack of communication on the part of your company  I am owed       for having only   people in the apartment and I will be reaching out to Airbnb about this and how the maintenance issue was handled  Kitchen pots and pans were not clean  One pan in particular had been left in the oven and was covered in grime 
597125185,Thank you  Bed had some hair on it
594447134,We loved the location  We loved the building  The sheets were clean and soft  Natural light was beautiful  Attend to the issues that I mentioned and you will have happy guests Hi there the space we stayed in had a few small issues  One was the couch looked like it had never been vacuumed under or behind any cushions  One of the guests was told he could sleep on the couch but it was very dirty  We tried vacuuming but the vacuum is old and weak  I recommend a new better vacuum for the space and maybe a couch upgrade 
591609228,Biggest issue was the sink in the bathroom  which really didn t seem like it had been cleaned at all  The seats in the common area were also stained  which was a little off putting 
590470777,The bed had some hair on it as well as the pillows  There was also a yellow stain that was on the bed spread  We had to wash the blanket with our own money  We also had to travel to another building just to buy a    card to do the laundry  On top of that        to wash the actual blanket in our own building 
590092549,Hi  I really enjoyed my stay  thank you    Although there were a few issues   I wasn t sent the access code  the toilet was not cleaned properly and I wasn t informed of the works happening upstairs  It was really quite noisy and disruptive    One suggestion would be to add continental breakfast and small pantry items for making tea or coffee    Overall I had a pleasant stay  Toilet not cleaned properly
586273846,Your business model seems to be to fail to disclose crucial details about your listing  noise  and then deny there is a problem when guests complain  The reason I didn t respond to requests for further clarification about the other stuff  smoke detector  gross menstrual blood stains on a comforter  is that it was relatively nbd  but together with being awakened by truck beeping and dumpster rolling     days of our vacation  it made for a pretty shitty experience  Rest assured I will be escalating this to Airbnb and letting my many local friends  I m a native Hyde Parker  know never to rent from ZenCity  Tub was clogged  Comforters had bloodstains and dirt on them 
571983578,The location is great and five bedrooms with Q beds are terrific   allows a large group like ours to stay together  The beds are comfortable and rooms are pleasant  Thank you  That was all great  However  as I mentioned in the review  the kitchen really needs work   there are only four coffee cups and we were nine people  We had to take turns drinking coffee  and one day my husband drank his out of a bowl just so he could join us  There was no kitchen sink dish scrubber and no dish drying rack or pad  so we had to dry dishes in the dishwasher  also no soap in the shower so we bought that  Also  under the kitchen sink is pretty dirty  so you dont really want to use supplies from there  It feels like guests would really not want to spend time eating at the apartment  Also  the outside front door lock seems like it is breaking or something    it is very difficult to work  only a couple of us could get the key to work in it  While the apartment itself was very clean  there were no supplies with which to wash and dry dishes 
563978116,Old and scratchy place   Greasy black layer on the middle window frame next to the oven   With the first look  looks like dead flys all over on that frame  but happen to be old black pieces from falling apart sponge   Greasy ventilation outlets  some of them broken   Unpleasant smell coming from old and broken coach   Heavy and stale air  unhealthy and damaging my lungs  Second bedroom is with a penetrated hole  look from inside of the room  unpainted  scratches etc 
561429598,Some stray hairs in the bathroom  a pretty unpleasant smell in the building and the room  building was shabby and felt unsafe 
555353754,The bathroom shower curtain liner was caked with pink mold along the bottom  There was no actual shower curtain  just the liner   The bedroom was dusty under the bed  heater  and in the corners  including a layer of dust on the fan  There was no tea kettle  so I tried to heat water in the coffee maker  only to discover the bottom of the pot was cracked and unusable 
554599567,We had some problems with the heating  It didn t work in the morning late evening  but only during the day  when we were typically not in the apt    The bedrooms could use a paint job   a proper cupboard  Hair on pillows   floor
554079618,carpet was so dirty left dust on clothing when sitting on the floor  both beds had stains and hair on linens  the shower hasn t been cleaned in months at least and had several used bars of soap inside which is nasty
548402981,                                                      
546579271,Location is amazing  view is too  but some of the details need work  Used to work in quality control for vacation condos in Hawaii   details is what I do  Needs a good deep cleaning  Walls need scrubbing and so does the vent  Also seemed like the cleaners didnt bother to get underneath the bed  which is super visible since the bed frame is high off the floor
544234880,Dust under the bed  crumpled bedsheets with hair on them  living room carpet and sofa are seriously dirty 
669171326,It was hair left on the shower wall
569155597,Thank you for hosting us  Some suggestions would be to clean the carpet  when we walked in that was the first thing we noticed  It kinda made us feel like the whole place was not clean  The bed was very hard and we did not get a good nights sleep  Those were the only reasons why we gave your place a   star  Thanks again  Carpet was very dirty
536412666,Because of unfortunate circumstances  I would expect Zencity to be more accommodating and reasonable with resolving issues such as the one I had the day of check in  But  since I wasn t able to stay at all and had to leave bc of a member having a health emergency  I can t agree that Zencity is best at being understanding  A refund for a cleaning fee isn t enough  I expected a full refund since it wasn t my fault that this happened  But  since I got something in return  I can t say it s all bad and deserves   stars  I can t say because I wasn t there 
536360294,Bathroom floor was dirty  shower was not cleaned and the bed sheets had foot prints and hair on them   
530419563,Clean your bathtub  that s unacceptable  The bathtub had water in it and dirt in it  The tub drain was clogged  It was disgusting 
523025555,We couldnt find the place because the address you sent was inaccurate  It is not located at    N Kingshighway Blvd  North side of town is   minutes away by car  Baseboards were dusty  Human hair found on floor and walls of bathroom upon arrival 
522761898,Provide knives  additional silverware  and cutting boards in the kitchen  Provide detergent for the laundry room  Change the outdoor furniture to lower maintenance ones without fabric cushions  Patio area in the back had furniture cushions that had mold due to rain 
505615834,Although there were some nice things about your place  there were a few big issues we found disappointing  We liked having a washer and dryer  the beds were comfortable  bedrooms nice size and kitchen was okay  We also liked having our own bathrooms   I m glad there were only   of us  There were only   barstools  and a very small table to eat at   The kitchen had dirty dishes in the cabinet I had to wash before using  No forks  and the hands free soap dispenser in kitchen never did work  even with new batteries  What bothered me the most is the fact that the water had been turned off while we were gone one day  We came home about       pm  wanting to take showers and get cleaned up before going to bed  No water in our bathrooms  and only cold water in the kitchen   I had to email the host about it  I just gave up and went to bed  She sent me a response after I went to sleep  which woke me up  telling me there had been a leak somewhere and they had shut off the water  She told me to notify her in the morning if it wasn t back on   I had to turn the water on for awhile in AM  but it finally sputtered and eventually was hot  It was brown and disgusting coming out of the faucets  We had to run a complete washing cycle without clothes before we could run a load of laundry    This may not seem like much  but we really got a late start the next day because of all this  The sofa was dirty  Looked worn  He throw blanket draped over the sofa corner was very musty smelling   Dead flies and other insects in window well in kitchen 
503780622,There was all sorts of hair and dust on the top half of the bathroom door  It was disgusting  There was hair in the bathroom sink  There was an old  used band aid stuck to the bathroom shelf  The bathtub did not drain  The kitchen stove was splattered with food  The glasses in the cupboard were wet and dirty  The ceiling fan did not work  The kitchen and the bathroom walls were filthy and desperately needed to be cleaned or painted  The paint was peeling off the ceilings  Etc 
497470868,Leftover trash was not completely cleared out from the previous guest  One of the cabinets was filled with alcoholic beverage containers  Everything else in the house was extremely clean 
572682151,The location was great  The cleanliness was below sub par  I would recommend a cleaning crew between guests to make sure no used stuff is lying around from previous guests    On a smaller note   the record player was one of the reasons we chose this place  would have loved a response when I reported it broken or anytime other than an hour prior to check out  The place had not been cleaned in between guests  There was a used wash cloth hanging in the bathroom with someone else s soap  food smashed into the carpet in the living room and the kitchen appliances  microwave with food splatter everywhere and leaked food in the bottom of the fridge  were disgusting  The smell required us to keep the windows open the entire time we were there 
495791380,The apartment was great  Thank you so much for such a nice stay  The shower curtain has some mold growing on it 
494575697,Sofa in living room is pretty dirty  Didnt even want to sit on it    Also lingering odor  possibly because its an old building 
491787180,Thanks for being a great host  It was a great experience and I would definitely stay again if in the Chicago area  I would like to recommend you add a full length mirror to the outside or inside door of the closet beside the bathroom  It was pretty clean  The shower head had what looked like calcium deposits on it 
490442458,The bathroom needs mantainance and they need a new couch is super uncomfortable even for sitting there and even more for sleeping there  Besides it smells bad
488825132,Ive already addressed my issues with my experience at this location so I will not write them again  but the parking was insane      Bathroom sink had not been properly cleaned  There were brown spots under the items on sink  This was a clear indication that thorough cleaning hadnt been done inside the bathroom  However there was PLENTY cleaning supplies and I was able to clean myself  I actually left the dirty rag I used so you could see how many crevices had been overlooked 
484378238,Thanks for being super responsive to my requests  Check in and mgmt responses were the best Ive seen in any Airbnb host  Food in the microwave from previous guests  which wasnt a big deal but also suggested that it hadnt been cleaned out between stays 
480878800,Sheets needed cleaning  Found a few hairs that weren t mine in the bed 
479339807,There was a giant hole in the ceiling in the kitchen  Every single drawer in the entire place was peeling grossly   to the point where we wouldnt put anything in them  There were bugs in the whole apartment 
423633241,I feel that due to the condition of the house and the lack of cleanliness of the apartment  we should have the cleaning fee returned  as we did much of the cleaning ourselves  There were dirty washcloths in the bathtubs  stains and hair on the sheets and towels in the bedroom  the overall smell of the apartment was unsavory  the amount of crumbs and human nails that were found was appalling  and it seemed that the apartment hadn t been cleaned in quite a while  The sheets in the bedroom were stained and appeared unclean  There were used wash clothes in the bathroom  There were stains inside the cupboards and there was expired meat in the freezer  The living room was filthy with crumbs and dirt everywhere  Inside of the fouton there were crumbs and fingernails within the cracks as if it hadn t been cleaned for quite a while  My friend and I bought many cleaning supplies and had to clean in order to feel comfortable staying in the place 
470048099,Thank you for being quick to respond  and for offering to take care of the cleaning issue  It looked like everything was cleaned on the surface  but we had to give the shower and toilet a good scrub  There were crumbs on the sofa  and we had to wash all the plates and cutlery 
464023993,Facts     Found a dead cockroach in bedroom     Found little black hairs all over bathtub  which was eroding  and black hair in freezer     Floors wore filthy  do not walk barefoot in there     The fridge was disgusting with leftover food and what looked like fresh spilled kool aid stains everywhere    We complained  they came into the apartment while we were away WITHOUT OUR COSENT to  re clean   We returned to the same exact cockroach and kool aid stains  The only difference was now the place had a horrible smell of chemical cleaners  we couldnt breathe and had to open all windows and leave for quite a while     The water was BROWN coming out of the pipes when we initially turned on the bath water   awesome 
